2024-07-29,2024-07-29,AFK,6.6500,7.6600,3.9400,3.7800,3.2600,6.8800,7.7700,7.1000,59.4000,35.0000,61.3000,69.3000,60.0000,50.0000,45.3000,61.9000,52.8000,56.3977,68.8000,99.5000,57.5000,48.5000,68.6000,24.1000,62.2000,43.1000,12.4000,49.1000,91.3000,50.9000,B
2024-07-29,2024-07-29,AFTY,6.3200,5.7300,3.4000,3.8600,5.9600,6.8800,6.2000,6.6200,55.5000,22.5000,53.4000,56.5000,48.7000,50.0000,50.9000,27.1000,42.2000,45.4853,96.9000,34.4000,96.9000,60.0000,72.1000,43.7000,61.4000,52.6000,12.5000,61.9000,23.0000,32.5000,B
2024-07-29,2024-07-29,AGF,8.1300,3.9500,9.9700,5.0000,6.3300,5.0000,6.3000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGG,3.2100,5.1900,3.1700,5.0000,3.0300,5.0000,1.8000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGGE,2.4900,4.1500,0.2800,5.0000,3.8600,5.0000,3.8700,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGGP,2.3400,3.5600,0.2400,5.0000,3.8600,5.0000,4.2700,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGGY,3.3600,6.3600,1.3800,5.0000,3.2700,5.0000,2.9300,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGND,3.3800,6.0700,1.2100,5.0000,3.2700,5.0000,3.6800,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGQ,7.9600,3.8100,9.3500,5.0000,4.7300,5.0000,9.2200,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGT,5.4200,4.2400,6.9300,5.0000,3.0300,5.0000,5.5800,5.6900,52.8000,65.5000,81.4000,62.3000,68.7000,50.0000,50.0000,66.7000,55.8000,62.2574,0.0000,31.2000,31.2000,100.0000,40.6000,50.0000,50.0000,50.0000,50.0000,50.0000,99.0000,66.3000,C
2024-07-29,2024-07-29,AGZ,2.6200,4.9900,1.9400,5.0000,3.0300,5.0000,1.8400,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AGZD,4.8600,6.3500,4.6700,5.0000,3.2700,5.0000,3.4600,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,2024-07-29,AIA,5.6100,5.0200,7.4400,3.2500,2.6600,5.3100,5.4500,5.0300,46.6000,29.6000,54.6000,68.4000,56.5000,0.0000,34.6000,65.6000,33.4000,44.9186,42.4000,39.6000,68.5000,39.3000,47.5000,5.5000,67.5000,36.5000,43.8000,38.8000,99.0000,60.5000,C
2024-07-29,2024-07-29,AIEQ,6.6000,6.1500,5.8800,1.5700,4.9300,6.0500,6.3900,6.2400,53.3000,41.6000,59.2000,67.8000,60.0000,50.0000,50.4000,67.8000,56.4000,58.1854,51.9000,67.3000,40.4000,53.5000,53.3000,24.5000,84.3000,54.4000,29.0000,39.2000,31.3000,33.2000,C
